"","Title","Developer","Publisher","Region","Release","Date","Month","Year","System","Generation"
"39","Aerobiz / Air Management: Oozora ni Kakeru (JP)","Koei","Koei","North_America","February 2, 1993",1993-02-02,2,1993,"SNES","4th"
"40","Aerobiz Supersonic / Air Management II: Koukuu Ou wo Mezase (JP)","Koei","Koei","Japan","April 2, 1993",1993-04-02,4,1993,"SNES","4th"
"41","Aerobiz Supersonic / Air Management II: Koukuu Ou wo Mezase (JP)","Koei","Koei","North_America","August 29, 1994",1994-08-29,8,1994,"SNES","4th"
"42","AIII S.V.: Let's Take the A-Train 3 Super Version","Pack-In-Video","Artdink","Japan","September 29, 1995",1995-09-29,9,1995,"SNES","4th"
"43","Aim for the Ace!","Nippon Telenet","Nippon Telenet","Japan","December 22, 1993",1993-12-22,12,1993,"SNES","4th"
"44","Air Cavalry","Synergistic Software","Cybersoft","North_America","June 20, 1995",1995-06-20,6,1995,"SNES","4th"
"45","Air Cavalry","Synergistic Software","Cybersoft","PAL","1995",NA,NA,1995,"SNES","4th"
"46","Al Unser Jr.'s Road to the Top","Radical Entertainment","Mindscape","North_America","November 1, 1994",1994-11-01,11,1994,"SNES","4th"
"47","Al Unser Jr.'s Road to the Top","Radical Entertainment","Mindscape","PAL","1994",NA,NA,1994,"SNES","4th"
"48","Albert Odyssey","Sunsoft","Sunsoft","Japan","March 5, 1993",1993-03-05,3,1993,"SNES","4th"
"49","Albert Odyssey 2","Sunsoft","Sunsoft","Japan","December 22, 1994",1994-12-22,12,1994,"SNES","4th"
"50","Alcahest","HAL Laboratory","Square","Japan","December 17, 1993",1993-12-17,12,1993,"SNES","4th"
"51","Alice's Paint Adventure","Pop House/SAS Sakata","Epoch Co.","Japan","September 15, 1995",1995-09-15,9,1995,"SNES","4th"
"52","Alien 3","Probe Entertainment","LJN","Japan","May 27, 1994",1994-05-27,5,1994,"SNES","4th"
"53","Alien 3","Probe Entertainment","LJN","North_America","May 17, 1993",1993-05-17,5,1993,"SNES","4th"
"54","Alien 3","Probe Entertainment","LJN","PAL","1992",NA,NA,1992,"SNES","4th"
"55","Alien vs Predator / Aliens vs Predator (JP)","Jorudan","Activision","Japan","January 8, 1993",1993-01-08,1,1993,"SNES","4th"
"56","Alien vs Predator / Aliens vs Predator (JP)","Jorudan","Activision","North_America","September 4, 1993",1993-09-04,9,1993,"SNES","4th"
"57","Alien vs Predator / Aliens vs Predator (JP)","Jorudan","Activision","PAL","1993",NA,NA,1993,"SNES","4th"
"58","AmaThe Amazing Spider-Man: Lethal Foes","Agenda","Epoch Co.","Japan","March 17, 1995",1995-03-17,3,1995,"SNES","4th"
"59","America Oudan Ultra Quiz","Genki","Tomy","Japan","November 20, 1992",1992-11-20,11,1992,"SNES","4th"
"60","American Battle Dome","Betop","Tsukuda Original","Japan","December 8, 1995",1995-12-08,12,1995,"SNES","4th"
"61","American Gladiators","Imagitec Design","GameTek","North_America","April 13, 1993",1993-04-13,4,1993,"SNES","4th"
"62","An American Tail: Fievel Goes West / Amerika Monogatari 2/Faiberu nishi e Iku (JP)","Shimada Kikaku","Hudson Soft","North_America","August 30, 1994",1994-08-30,8,1994,"SNES","4th"
"63","An American Tail: Fievel Goes West / Amerika Monogatari 2/Faiberu nishi e Iku (JP)","Shimada Kikaku","Hudson Soft","PAL","November 1, 1994",1994-11-01,11,1994,"SNES","4th"
"64","Ancient Magic: Bazoo! Mahou Sekai","Hot-B","Hot-B","Japan","July 23, 1993",1993-07-23,7,1993,"SNES","4th"
"65","Andre Agassi Tennis","Radiance Software","TecMagik","Japan","March 31, 1994",1994-03-31,3,1994,"SNES","4th"
"66","Andre Agassi Tennis","Radiance Software","TecMagik","North_America","May 31, 1994",1994-05-31,5,1994,"SNES","4th"
"67","Angelique","Ruby Party","Koei, NEC","Japan","September 23, 1994",1994-09-23,9,1994,"SNES","4th"
"68","Angelique Voice Fantasy","Ruby Party","Koei, NEC","Japan","March 29, 1996",1996-03-29,3,1996,"SNES","4th"
"69","Animaniacs","Konami","Konami","Japan","March 7, 1997",1997-03-07,3,1997,"SNES","4th"
"70","Animaniacs","Konami","Konami","North_America","June 1, 1994",1994-06-01,6,1994,"SNES","4th"
"71","Animaniacs","Konami","Konami","PAL","August 1, 1994",1994-08-01,8,1994,"SNES","4th"
"72","Appleseed: Oracle of Prometheus","Visit","Visit","Japan","August 26, 1994",1994-08-26,8,1994,"SNES","4th"
"73","Arabian Nights: Spirit of the Desert King","Pandora Box","Takara","Japan","June 14, 1996",1996-06-14,6,1996,"SNES","4th"
"74","Araiguma Rascal","J-Force","Masaya","Japan","March 25, 1994",1994-03-25,3,1994,"SNES","4th"
"75","Arcade's Greatest Hits: The Atari Collection 1","Digital Eclipse Software","Midway Games","North_America","August 30, 1997",1997-08-30,8,1997,"SNES","4th"
"76","Arcana / Card Master (JP)","HAL Laboratory","HAL Laboratory","Japan","March 27, 1992",1992-03-27,3,1992,"SNES","4th"
"77","Arcana / Card Master (JP)","HAL Laboratory","HAL Laboratory","North_America","May 5, 1992",1992-05-05,5,1992,"SNES","4th"
"78","Arcus Spirits","Wolf Team","Sammy Studios","Japan","October 22, 1993",1993-10-22,10,1993,"SNES","4th"
"79","Ardy Lightfoot","ASCII Entertainment","ASCII Entertainment (JP) / Titus Software (NA/EU)","Japan","November 26, 1993",1993-11-26,11,1993,"SNES","4th"
"80","Ardy Lightfoot","ASCII Entertainment","ASCII Entertainment (JP) / Titus Software (NA/EU)","North_America","February 1, 1994",1994-02-01,2,1994,"SNES","4th"
"81","Ardy Lightfoot","ASCII Entertainment","ASCII Entertainment (JP) / Titus Software (NA/EU)","PAL","October 31, 1994",1994-10-31,10,1994,"SNES","4th"
"82","Aretha II: Ariel no Fushigi na Tabi","Japan Art Media","Yanoman","Japan","December 2, 1994",1994-12-02,12,1994,"SNES","4th"
"83","Aretha the Super Famicom","Japan Art Media","Yanoman","Japan","November 23, 1993",1993-11-23,11,1993,"SNES","4th"
"84","Arkanoid: Doh It Again","Taito","Taito (JP) / Nintendo (NA/EU)","Japan","January 15, 1997",1997-01-15,1,1997,"SNES","4th"
"85","Arkanoid: Doh It Again","Taito","Taito (JP) / Nintendo (NA/EU)","North_America","November 3, 1997",1997-11-03,11,1997,"SNES","4th"
"86","Arkanoid: Doh It Again","Taito","Taito (JP) / Nintendo (NA/EU)","PAL","1997",NA,NA,1997,"SNES","4th"
"87","Armored Police Metal Jack","Atlus","Atlus","Japan","July 31, 1992",1992-07-31,7,1992,"SNES","4th"
"88","Art of Fighting / Ryuuko no Ken (JP)","Monolith Corporation","Takara","Japan","October 29, 1993",1993-10-29,10,1993,"SNES","4th"
"89","Art of Fighting / Ryuuko no Ken (JP)","Monolith Corporation","Takara","North_America","December 1, 1993",1993-12-01,12,1993,"SNES","4th"
"90","Art of Fighting / Ryuuko no Ken (JP)","Monolith Corporation","Takara","PAL","1993",NA,NA,1993,"SNES","4th"
"91","Asahi Shinbun Rensai: Katou Ichi-Ni-San Shougi: Shingiryuu","Varie","Varie","Japan","September 22, 1995",1995-09-22,9,1995,"SNES","4th"
"92","Asameshimae Nyanko","J-Force","Zamuse","Japan","March 18, 1994",1994-03-18,3,1994,"SNES","4th"
"93","Ashita no Joe","Wave Corp","K Amusement Leasing","Japan","November 27, 1992",1992-11-27,11,1992,"SNES","4th"
"94","Asterix","Infogrames","Infogrames","PAL","May 30, 1993",1993-05-30,5,1993,"SNES","4th"
"95","Asterix & Obelix","Infogrames","Infogrames","PAL","May 1, 1996",1996-05-01,5,1996,"SNES","4th"
"96","Axelay","Konami","Konami","Japan","September 11, 1992",1992-09-11,9,1992,"SNES","4th"
"97","Axelay","Konami","Konami","North_America","September 14, 1992",1992-09-14,9,1992,"SNES","4th"
"98","Axelay","Konami","Konami","PAL","September 30, 1993",1993-09-30,9,1993,"SNES","4th"
"99","B.O.B. / Space Funky B.O.B.JP","Gray Matter","Electronic Arts","Japan","December 22, 1993",1993-12-22,12,1993,"SNES","4th"
"100","B.O.B. / Space Funky B.O.B.JP","Gray Matter","Electronic Arts","North_America","June 1, 1993",1993-06-01,6,1993,"SNES","4th"
"101","B.O.B. / Space Funky B.O.B.JP","Gray Matter","Electronic Arts","PAL","July 22, 1993",1993-07-22,7,1993,"SNES","4th"
"102","Bahamut Lagoon","Square","Square","Japan","February 9, 1996",1996-02-09,2,1996,"SNES","4th"
"103","Bakukyuu Renpatsu!! Super B-Daman","Amble","Hudson Soft","Japan","December 19, 1997",1997-12-19,12,1997,"SNES","4th"
"104","Bakumatsu Kourinden Oni","Pandora Box","Banpresto","Japan","February 2, 1996",1996-02-02,2,1996,"SNES","4th"
"105","Bakuto Dochers","Genki","Bullet-Proof Software","Japan","October 28, 1994",1994-10-28,10,1994,"SNES","4th"
"106","Ball Bullet Gun: Survival Game Simulation","Betop","I'MAX","Japan","December 1, 1995",1995-12-01,12,1995,"SNES","4th"
"107","Ballz 3D / 3 Jigen Kakuto: Ballz (JP)","PF Magic","Accolade","Japan","April 28, 1995",1995-04-28,4,1995,"SNES","4th"
"108","Ballz 3D / 3 Jigen Kakuto: Ballz (JP)","PF Magic","Accolade","North_America","April 1, 1994",1994-04-01,4,1994,"SNES","4th"
"109","Barbarossa","SystemSoft Alpha","Sammy Corporation","Japan","November 27, 1992",1992-11-27,11,1992,"SNES","4th"
"110","Barbie: Super Model","Software Creations","Hi Tech Expressions","North_America","December 1993",NA,12,1993,"SNES","4th"
"111","Barkley Shut Up and Jam! / Barkley's Power Dunk (JP)","Accolade","Accolade","Japan","September 30, 1994",1994-09-30,9,1994,"SNES","4th"
"112","Barkley Shut Up and Jam! / Barkley's Power Dunk (JP)","Accolade","Accolade","North_America","June 7, 1994",1994-06-07,6,1994,"SNES","4th"
"113","Barkley Shut Up and Jam! / Barkley's Power Dunk (JP)","Accolade","Accolade","PAL","December 1994",NA,12,1994,"SNES","4th"
"114","Bass Masters Classic","Malibu Games","Malibu Games","Japan","July 28, 1995",1995-07-28,7,1995,"SNES","4th"
"115","Bass Masters Classic","Malibu Games","Malibu Games","North_America","June 6, 1995",1995-06-06,6,1995,"SNES","4th"
"116","Bass Masters Classic: Pro Edition","Black Pearl Software","Black Pearl Software","North_America","July 23, 1996",1996-07-23,7,1996,"SNES","4th"
"117","Bass Masters Classic: Pro Edition","Black Pearl Software","Black Pearl Software","PAL","November 1, 1996",1996-11-01,11,1996,"SNES","4th"
"118","Bassin's Black Bass with Hank Parker / Super Black Bass 2JP","Starfish","Hot-B","Japan","September 23, 1994",1994-09-23,9,1994,"SNES","4th"
"119","Bassin's Black Bass with Hank Parker / Super Black Bass 2JP","Starfish","Hot-B","North_America","November 1, 1994",1994-11-01,11,1994,"SNES","4th"
"120","Bastard!!: Ankoku no Hakai-shin","Kazushi Hagiwara / Shueisha","Cobra Team","Japan","January 28, 1994",1994-01-28,1,1994,"SNES","4th"
"121","Batman Forever","Probe Entertainment","Acclaim Entertainment","Japan","October 27, 1995",1995-10-27,10,1995,"SNES","4th"
"122","Batman Forever","Probe Entertainment","Acclaim Entertainment","North_America","October 26, 1995",1995-10-26,10,1995,"SNES","4th"
"123","Batman Forever","Probe Entertainment","Acclaim Entertainment","PAL","September 7, 1995",1995-09-07,9,1995,"SNES","4th"
"124","Batman Returns","Konami","Konami","Japan","February 26, 1993",1993-02-26,2,1993,"SNES","4th"
"125","Batman Returns","Konami","Konami","North_America","May 31, 1993",1993-05-31,5,1993,"SNES","4th"
"126","Batman Returns","Konami","Konami","PAL","May 1, 1993",1993-05-01,5,1993,"SNES","4th"
"127","Battle Blaze","Aicom","American Sammy","Japan","May 1, 1992",1992-05-01,5,1992,"SNES","4th"
"128","Battle Blaze","Aicom","American Sammy","North_America","October 19, 1993",1993-10-19,10,1993,"SNES","4th"
"129","Battle Cars","Malibu Interactive","Namco","North_America","December 1993",NA,12,1993,"SNES","4th"
"130","Battle Clash / Space Bazooka (JP)","Intelligent Systems","Nintendo","Japan","June 21, 1993",1993-06-21,6,1993,"SNES","4th"
"131","Battle Clash / Space Bazooka (JP)","Intelligent Systems","Nintendo","North_America","October 1, 1992",1992-10-01,10,1992,"SNES","4th"
"132","Battle Clash / Space Bazooka (JP)","Intelligent Systems","Nintendo","PAL","1992",NA,NA,1992,"SNES","4th"
"133","Battle Commander: Hachibushuu Shura no Heihou","Arc System Works","Banpresto","Japan","December 29, 1991",1991-12-29,12,1991,"SNES","4th"
"134","Battle Cross","A-Max","Imagineer","Japan","December 9, 1994",1994-12-09,12,1994,"SNES","4th"
"135","Battle Dodge Ball","Banpresto","Banpresto","Japan","July 20, 1991",1991-07-20,7,1991,"SNES","4th"
"136","Battle Dodge Ball II","Nova Games","Banpresto","Japan","July 23, 1993",1993-07-23,7,1993,"SNES","4th"
"137","Battle Grand Prix","KID","Hudson Soft","Japan","March 27, 1992",1992-03-27,3,1992,"SNES","4th"
"138","Battle Grand Prix","KID","Hudson Soft","North_America","April 20, 1993",1993-04-20,4,1993,"SNES","4th"
"139","Battle Jockey","Nova Games","Virgin Interactive","Japan","December 22, 1994",1994-12-22,12,1994,"SNES","4th"
"140","Battle Master: Kyuukyoku no Senshitachi","System Vision","Toshiba","Japan","November 19, 1993",1993-11-19,11,1993,"SNES","4th"
"141","Battle Pinball","Banpresto","Banpresto","Japan","February 25, 1995",1995-02-25,2,1995,"SNES","4th"
"142","Battle Racers","Banpresto","Banpresto","Japan","March 17, 1995",1995-03-17,3,1995,"SNES","4th"
"143","Battle Robot Retsuden","Winkysoft","Banpresto","Japan","September 1, 1995",1995-09-01,9,1995,"SNES","4th"
"144","Battle Soccer 2","Pandora Box","Banpresto","Japan","November 25, 1994",1994-11-25,11,1994,"SNES","4th"
"145","Battle Soccer: Field no Hasha","Pandora Box","Banpresto","Japan","December 11, 1992",1992-12-11,12,1992,"SNES","4th"
"146","Battle Submarine","Office Koukan","Pack-In-Video","Japan","December 22, 1995",1995-12-22,12,1995,"SNES","4th"
"147","Battle Tycoon: Flash Hiders SFX","Right Stuff","Right Stuff","Japan","May 19, 1995",1995-05-19,5,1995,"SNES","4th"
"148","Battle Zeque Den","Arsys Software","Asmik Ace Entertainment","Japan","July 15, 1994",1994-07-15,7,1994,"SNES","4th"
"149","Battletoads & Double Dragon","Rare","Tradewest","North_America","December 1, 1993",1993-12-01,12,1993,"SNES","4th"
"150","Battletoads & Double Dragon","Rare","Tradewest","PAL","July 10, 1994",1994-07-10,7,1994,"SNES","4th"
"151","Battletoads in Battlemaniacs","Rare","Tradewest","Japan","January 7, 1994",1994-01-07,1,1994,"SNES","4th"
"152","Battletoads in Battlemaniacs","Rare","Tradewest","North_America","June 29, 1993",1993-06-29,6,1993,"SNES","4th"
"153","Battletoads in Battlemaniacs","Rare","Tradewest","PAL","October 1, 1993",1993-10-01,10,1993,"SNES","4th"
"154","Bazooka Blitzkrieg / Destructive (JP)","Tose","Bandai","Japan","August 27, 1993",1993-08-27,8,1993,"SNES","4th"
"155","Bazooka Blitzkrieg / Destructive (JP)","Tose","Bandai","North_America","December 31, 1992",1992-12-31,12,1992,"SNES","4th"
"156","Beavis and Butt-head","Realtime Associates","Viacom New Media","North_America","November 1, 1994",1994-11-01,11,1994,"SNES","4th"
"157","Beavis and Butt-head","Realtime Associates","Viacom New Media","PAL","1995",NA,NA,1995,"SNES","4th"
"158","Bébé's Kids","Radical Entertainment","Motown Software","North_America","April 19, 1994",1994-04-19,4,1994,"SNES","4th"
"159","Beethoven: The Ultimate Canine Caper / Beethoven's 2nd (EU)","Riedel Software Productions","Hi Tech Expressions","North_America","December 17, 1993",1993-12-17,12,1993,"SNES","4th"
"160","Beethoven: The Ultimate Canine Caper / Beethoven's 2nd (EU)","Riedel Software Productions","Hi Tech Expressions","PAL","1993",NA,NA,1993,"SNES","4th"
"161","Benkei Gaiden: Suna no Shou","Sunsoft","Sunsoft","Japan","December 18, 1992",1992-12-18,12,1992,"SNES","4th"
"162","Best of the Best: Championship Karate / Super Kick Boxing (JP)","Loriciel","Electro Brain","Japan","March 5, 1993",1993-03-05,3,1993,"SNES","4th"
"163","Best of the Best: Championship Karate / Super Kick Boxing (JP)","Loriciel","Electro Brain","North_America","November 24, 1993",1993-11-24,11,1993,"SNES","4th"
"164","Best of the Best: Championship Karate / Super Kick Boxing (JP)","Loriciel","Electro Brain","PAL","1993",NA,NA,1993,"SNES","4th"
"165","Best Shot Pro Golf","KID","ASCII","Japan","June 14, 1996",1996-06-14,6,1996,"SNES","4th"
"166","Big Ichigeki! Pachi-Slot Daikouryaku","Syscom","Ask Koudansha","Japan","December 16, 1994",1994-12-16,12,1994,"SNES","4th"
"167","Big Ichigeki! Pachi-Slot Daikouryaku 2","Syscom","Ask Koudansha","Japan","July 21, 1995",1995-07-21,7,1995,"SNES","4th"
"168","Big Sky Trooper","LucasArts","JVC Musical Industries","North_America","October 10, 1995",1995-10-10,10,1995,"SNES","4th"
"169","Big Sky Trooper","LucasArts","JVC Musical Industries","PAL","1995",NA,NA,1995,"SNES","4th"
"170","Bike Daisuki! Hashiriya Kon: Rider's Spirits","Genki","Masaya","Japan","September 30, 1994",1994-09-30,9,1994,"SNES","4th"
"171","Biker Mice from Mars","Konami","Konami","North_America","December 1, 1994",1994-12-01,12,1994,"SNES","4th"
"172","Biker Mice from Mars","Konami","Konami","PAL","January 1, 1995",1995-01-01,1,1995,"SNES","4th"
"173","Bill Laimbeer's Combat Basketball","Hewson Consultants","Hudson Soft","North_America","December 1, 1991",1991-12-01,12,1991,"SNES","4th"
"174","Bill Walsh College Football","Visual Concepts","EA Sports","North_America","February 1994",NA,2,1994,"SNES","4th"
"175","Bing Bing! Bingo","Copya Systems","KSS","Japan","December 22, 1993",1993-12-22,12,1993,"SNES","4th"
"176","BioMetal","Athena","Activision","Japan","March 19, 1993",1993-03-19,3,1993,"SNES","4th"
"177","BioMetal","Athena","Activision","North_America","November 1993",NA,11,1993,"SNES","4th"
"178","BioMetal","Athena","Activision","PAL","1993",NA,NA,1993,"SNES","4th"
"179","Bishoujo Janshi Suchie-Pai","DCE","Jaleco","Japan","July 30, 1993",1993-07-30,7,1993,"SNES","4th"
"180","Bishoujo Senshi Sailor Moon R","Arc System Works","Bandai","Japan","December 29, 1993",1993-12-29,12,1993,"SNES","4th"
"181","Bishoujo Senshi Sailor Moon S: Kondo ha Puzzle de Oshiokiyo!","Tom Create","Bandai","Japan","July 15, 1994",1994-07-15,7,1994,"SNES","4th"
"182","Bishoujo Senshi Sailor Moon S: Kurukkurin","Tom Create","Bandai","Japan","February 24, 1995",1995-02-24,2,1995,"SNES","4th"
"183","Bishoujo Senshi Sailor Moon SuperS – Zenin Sanka!! Shuyaku Soudatsusen","Angel","Angel","Japan","March 29, 1996",1996-03-29,3,1996,"SNES","4th"
"184","Bishoujo Senshi Sailor Moon SuperS: Fuwa Fuwa Panic","Tom Create","Bandai","Japan","December 8, 1995",1995-12-08,12,1995,"SNES","4th"
"185","Bishoujo Senshi Sailor Moon: Another Story","Arc System Works/TNS","Angel","Japan","September 22, 1995",1995-09-22,9,1995,"SNES","4th"
"186","Bishoujo Senshi Sailor Moon: Sailor Stars Fuwa Fuwa Panic 2","Bandai","Bandai","Japan","September 27, 1996",1996-09-27,9,1996,"SNES","4th"
"187","Bishoujo Senshi Sailormoon S: Jougai Rantou!? Shuyaku Soudatsusen","Arc System Works","Angel","Japan","December 16, 1994",1994-12-16,12,1994,"SNES","4th"
"188","Bishoujo Wrestlinger's History: Beauty Girl Wrestling","Nihon Soft System","KSS","Japan","March 29, 1996",1996-03-29,3,1996,"SNES","4th"
"189","Blackthorne / Blackhawk (EU)","Blizzard Entertainment","Interplay Entertainment","Japan","August 11, 1995",1995-08-11,8,1995,"SNES","4th"
"190","Blackthorne / Blackhawk (EU)","Blizzard Entertainment","Interplay Entertainment","North_America","September 1994",NA,9,1994,"SNES","4th"
"191","Blackthorne / Blackhawk (EU)","Blizzard Entertainment","Interplay Entertainment","PAL","February 23, 1995",1995-02-23,2,1995,"SNES","4th"
"192","BlaZeon: The Bio-Cyborg Challenge","AI","Atlus","Japan","July 24, 1992",1992-07-24,7,1992,"SNES","4th"
"193","BlaZeon: The Bio-Cyborg Challenge","AI","Atlus","North_America","October 27, 1992",1992-10-27,10,1992,"SNES","4th"
"194","Block Kuzushi","OeRSTED","Planning Office Wada","Japan","November 17, 1995",1995-11-17,11,1995,"SNES","4th"
"195","Blue Legend Shoot!","Affect","KSS","Japan","December 16, 1994",1994-12-16,12,1994,"SNES","4th"
"196","Bomberman B-Daman","A.I.","Hudson Soft","Japan","December 20, 1996",1996-12-20,12,1996,"SNES","4th"
"197","Boogerman: A Pick and Flick Adventure","Interplay Entertainment","Interplay Entertainment","North_America","September 15, 1995",1995-09-15,9,1995,"SNES","4th"
"198","Boogerman: A Pick and Flick Adventure","Interplay Entertainment","Interplay Entertainment","PAL","January 25, 1996",1996-01-25,1,1996,"SNES","4th"
"199","Bounty Sword","ITL","Pioneer LDC","Japan","September 8, 1995",1995-09-08,9,1995,"SNES","4th"
"200","Boxing Legends of the Ring / Chavez IIMX / Final Knockout (JP)","Sculptured Software","Electro Brain","Japan","November 5, 1993",1993-11-05,11,1993,"SNES","4th"
"201","Boxing Legends of the Ring / Chavez IIMX / Final Knockout (JP)","Sculptured Software","Electro Brain","North_America","November 1, 1993",1993-11-01,11,1993,"SNES","4th"
"202","Boxing Legends of the Ring / Chavez IIMX / Final Knockout (JP)","Sculptured Software","Electro Brain","PAL","1993",NA,NA,1993,"SNES","4th"
"203","Brain Lord","Produce","Enix","Japan","January 29, 1994",1994-01-29,1,1994,"SNES","4th"
"204","Brain Lord","Produce","Enix","North_America","October 1, 1994",1994-10-01,10,1994,"SNES","4th"
"205","Bram Stoker's Dracula","Psygnosis / Traveller's Tales","Sony Imagesoft","North_America","September 1993",NA,9,1993,"SNES","4th"
"206","Bram Stoker's Dracula","Psygnosis / Traveller's Tales","Sony Imagesoft","PAL","1993",NA,NA,1993,"SNES","4th"
"207","Brandish","Koei","Koei","Japan","June 25, 1994",1994-06-25,6,1994,"SNES","4th"
"208","Brandish","Koei","Koei","North_America","February 28, 1995",1995-02-28,2,1995,"SNES","4th"
"209","Brandish 2 Expert","Koei","Koei","Japan","March 15, 1996",1996-03-15,3,1996,"SNES","4th"
